national_dex_id,name,type_primary,type_secondary,generation,region,source_game,sprite_url,description
37,Vulpix,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,
38,Ninetales,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,
39,Jigglypuff,Normal,Fairy,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,
40,Wigglytuff,Normal,Fairy,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,
41,Zubat,Poison,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,
42,Golbat,Poison,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,
43,Oddish,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,
44,Gloom,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,
45,Vileplume,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,
46,Paras,Bug,Grass,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,
47,Parasect,Bug,Grass,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,
48,Venonat,Bug,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,
49,Venomoth,Bug,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,
50,Diglett,Ground,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,
51,Dugtrio,Ground,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,
52,Meowth,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,
53,Persian,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,
54,Psyduck,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,
55,Golduck,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,
56,Mankey,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,
57,Primeape,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,
58,Growlithe,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,
59,Arcanine,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,
60,Poliwag,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,
61,Poliwhirl,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,
62,Poliwrath,Water,Fighting,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,
63,Abra,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,
64,Kadabra,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,
65,Alakazam,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,
66,Machop,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,
67,Machoke,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,
68,Machamp,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,
69,Bellsprout,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,
70,Weepinbell,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,
71,Victreebel,Grass,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,
72,Tentacool,Water,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,
73,Tentacruel,Water,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,
74,Geodude,Rock,Ground,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,
75,Graveler,Rock,Ground,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,
76,Golem,Rock,Ground,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,
77,Ponyta,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,
78,Rapidash,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,
79,Slowpoke,Water,Psychic,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,
80,Slowbro,Water,Psychic,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,
81,Magnemite,Electric,Steel,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,
82,Magneton,Electric,Steel,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,
83,Farfetchd,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,
84,Doduo,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,
85,Dodrio,Normal,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,
86,Seel,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,
87,Dewgong,Water,Ice,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,
88,Grimer,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,
89,Muk,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,
90,Shellder,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,
91,Cloyster,Water,Ice,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,
92,Gastly,Ghost,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,
93,Haunter,Ghost,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,
94,Gengar,Ghost,Poison,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,
95,Onix,Rock,Ground,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,
96,Drowzee,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,
97,Hypno,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,
98,Krabby,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,
99,Kingler,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,
100,Voltorb,Electric,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,
101,Electrode,Electric,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,
102,Exeggcute,Grass,Psychic,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,
103,Exeggutor,Grass,Psychic,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,
104,Cubone,Ground,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,
105,Marowak,Ground,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,
106,Hitmonlee,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,
107,Hitmonchan,Fighting,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,
108,Lickitung,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,
109,Koffing,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,
110,Weezing,Poison,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,
111,Rhyhorn,Ground,Rock,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,
112,Rhydon,Ground,Rock,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,
113,Chansey,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,
114,Tangela,Grass,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,
115,Kangaskhan,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,
116,Horsea,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,
117,Seadra,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,
118,Goldeen,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,
119,Seaking,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,
120,Staryu,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,
121,Starmie,Water,Psychic,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,
122,Mr Mime,Psychic,Fairy,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,
123,Scyther,Bug,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,
124,Jynx,Ice,Psychic,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,
125,Electabuzz,Electric,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,
126,Magmar,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,
127,Pinsir,Bug,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,
128,Tauros,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,
129,Magikarp,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,
130,Gyarados,Water,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,
131,Lapras,Water,Ice,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,
132,Ditto,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,
133,Eevee,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,
134,Vaporeon,Water,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,
135,Jolteon,Electric,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,
136,Flareon,Fire,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,
137,Porygon,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,
138,Omanyte,Rock,Water,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,
139,Omastar,Rock,Water,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,
140,Kabuto,Rock,Water,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,
141,Kabutops,Rock,Water,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,
142,Aerodactyl,Rock,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,
143,Snorlax,Normal,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,
144,Articuno,Ice,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,
145,Zapdos,Electric,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,
146,Moltres,Fire,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,
147,Dratini,Dragon,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,
148,Dragonair,Dragon,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,
149,Dragonite,Dragon,Flying,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,
150,Mewtwo,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,
151,Mew,Psychic,,1,Kanto,Red/Blue,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,
152,Chikorita,Grass,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,
153,Bayleef,Grass,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,
154,Meganium,Grass,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,
155,Cyndaquil,Fire,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,
156,Quilava,Fire,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,
157,Typhlosion,Fire,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,
158,Totodile,Water,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,
159,Croconaw,Water,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,
160,Feraligatr,Water,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,
161,Sentret,Normal,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,
162,Furret,Normal,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,
163,Hoothoot,Normal,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,
164,Noctowl,Normal,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,
165,Ledyba,Bug,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,
166,Ledian,Bug,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,
167,Spinarak,Bug,Poison,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,
168,Ariados,Bug,Poison,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png,
169,Crobat,Poison,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png,
170,Chinchou,Water,Electric,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png,
171,Lanturn,Water,Electric,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png,
172,Pichu,Electric,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png,
173,Cleffa,Fairy,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png,
174,Igglybuff,Normal,Fairy,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png,
175,Togepi,Fairy,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png,
176,Togetic,Fairy,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png,
177,Natu,Psychic,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png,
178,Xatu,Psychic,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png,
179,Mareep,Electric,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png,
180,Flaaffy,Electric,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png,
181,Ampharos,Electric,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png,
182,Bellossom,Grass,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png,
183,Marill,Water,Fairy,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png,
184,Azumarill,Water,Fairy,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png,
185,Sudowoodo,Rock,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png,
186,Politoed,Water,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png,
187,Hoppip,Grass,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png,
188,Skiploom,Grass,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png,
189,Jumpluff,Grass,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png,
190,Aipom,Normal,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png,
191,Sunkern,Grass,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png,
192,Sunflora,Grass,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png,
193,Yanma,Bug,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png,
194,Wooper,Water,Ground,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png,
195,Quagsire,Water,Ground,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png,
196,Espeon,Psychic,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png,
197,Umbreon,Dark,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png,
198,Murkrow,Dark,Flying,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png,
199,Slowking,Water,Psychic,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png,
200,Misdreavus,Ghost,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png,
201,Unown,Psychic,,2,Johto,Gold/Silver,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png,
